ZONA,ZONA -DIM,DIRECCION,CIUDAD,TELEFONO,LOCATION
8,ZONA 08,Av. Bolivar No 25  -00,Armenia,7495818,"(4.538932, -75.6665206)"
8,DIM 22,Av sur calle 52 parte posterior Batallon San Mateo,Pereira,3124404 3124366,"(4.8040657, -75.6945191)"
8,DIM 30,KM 2 via la Aeropuerto Barrio santa Ana,Cartago,2141090,"(4.7497619, -75.913601)"
8,DIM 31,Av. Santander Via la ENEA,Manizales,8873918,"(5.067172, -75.513265)"
8,DIM 39,Av. Bolivar No 25  -00,Armenia,7496201,"(4.5553293, -75.6574464)"
9,ZONA 09,cr 16 No 21 -300 Barrio La Libertad,Neiva, 8753133  8750355,"(2.9388684, -75.2819194)"
9,DIM 42,cr 16 No 21 -300 Barrio La Libertad,Neiva,8755590,"(2.9388684, -75.2819194)"
9,DIM 43,Calle 16 Carrera 14 Esquina Barrio centro,Florencia,4354205,"(1.6183463, -75.6123305)"
9,DIM 56,KM 5 via San Agustin No 2  -50,Pitalito,8360340,"(1.847155, -76.051)"
9,DIM 62,Diagonal a Brigada de Selva 27,Mocoa,4200141,"(1.15234, -76.651055)"
11,ZONA 11,Avenida Sierra Chiquita Br Santander Instalaciones Brigada 11,Monteria,7837677  -7838081,"(8.750983, -75.8785348)"
11,DIM 11,Barrio las Delicias Cra 9 No 33A -241,Sincelejo,2882244,"(9.71663, -74.49993)"
11,DIM 13,Avenida Sierra Chiquita Br Santander Instalaciones Brigada 11,Monteria,7837477,"(8.750983, -75.8785348)"
11,DIM 61,Km 8 via Medellin instalaciones Batallon de infanteria No 31 Rifles,Caucasia,8308994,"(7.979698, -75.1985629)"
13,ZONA 13,Av. Americas No 58  -38,Bogota,4461808,"(4.6285152, -74.1154636)"
13,DIM 46,Calle 3A No 6  -90 ,Cajica,8424491,"(4.917531, -74.024773)"
13,DIM 47,Kr 5B Tres Esquinas,Facatativa,8833991,"(4.809984, -74.354009)"
13,DIM 51,Av. Americas No 58  -38,Bogota,4461808,"(4.6285152, -74.1154636)"
13,DIM 52,Escuela Artilleria,Bogota,7390632 ,"(4.5494637, -74.1223714)"
13,DIM 55,CC Centro Fusa Local 117,Fusagasuga,8671960,"(4.345152, -74.361823)"
13,DIM 59,Calle 19 No 5  -25,Soacha,7810524,"(4.571524, -74.236444)"
15,ZONA 15,Cra 11 B No 104 A  -64,Bogota,2159379,"(4.7109886, -74.072092)"
15,DIM 01,Cra 11 B No 104 A  -64,Bogota,2159561,"(4.7109886, -74.072092)"
15,DIM 02,Calle 19 sur No 6  -40 Batallon de Mantenimiento,Bogota,3729864,"(4.7109886, -74.072092)"
15,DIM 03,Calle 33 sur No 79  -80 Kennedy,Bogota,2732701,"(4.7109886, -74.072092)"
15,DIM 04,Cra 11 B No 104 A  -64,Bogota,6208584,"(4.7109886, -74.072092)"
